"matter","qcasenumber"
"064333-8874","2:12-cv-02302"
"064346-7230","14-C-1231KAN"
"042362-0027","04 CV 01213"
"020787-1825","11080441"
"103971-0189","18-cv-00659"
"049065-0288","3:12-cv-00782"
"064346-5343","2014-1386"
"030358-0016","13-cv-00575"
"009532-2860","19-05074"
"064346-8509","RG15759615"
"000741-0098","14 cv 02590"
"069530-0002","07-40477"
"107577-0011"," RG16831960 "
"063784-0235","1300494EJD"
"037492-0259","15-02570"
"065898-0015","CV - 2011 - 000900"
"103459-0002","RG14710054"
"052701-0593","011600003805"
"117003-9512","2017-CV-2347-AS"
"118544-0021","18-00479"
"037492-0136","01-15-0004-0687"
"097073-0073","18-5481"
"064318-1617","16-002952"
"061201-0089","15 cv 01657"
"031886-0003","13-02391"
"102410-0005","8:09-cv-02661-AW"
"048673-0001","10138527"
"057182-0008","18-cv-769"
"064346-8118","14-015061-NP"
"053537-0057","450-2014-00080"
"031423-0007","D101CV201401290"
"103971-0020","16-1437"
"064793-0001","FL042976"
"064318-0980","15-C-466"
"064333-9105","RG12622216"
"020787-4687","01-15069 (27)"
"106622-0007","18 cv 7962"
"008742-0125","BLO020316"
"064346-8458","15-001841-NP"
"115078-0002","16-cv-14525"
"064333-0922","RG07311477"
"103971-0251","19-05288"
"106542-0006","01-17-0004-0586"
"067654-0308","24X08000056"
"064333-2081","RG08412142"
"002202-0001","8:15-cv-01455"
"049673-0078","17C-2013-00574"
"020787-2116","120902759"
"049673-0852","19-00445"
"049673-0241","16-00820"
"119876-0001","17 cv 6424"
"064333-4180","10-L-354"
"064346-2323","BC468295"
"067062-0004","08-R2D2-1204"
"064345-0195","BC376529"
"067696-2223","16-C-649 KAN"
"002579-0434","18-00052"
"117003-1109","2006-2336"
"046513-0042","16-1108"
"037492-0078","214CV9213DSF"
"060771-0195","BC723630"
"064333-1068","CGC07274275"
"025010-0477","1310023463"
"064329-1646","14-008198-NP"
"117003-8500","Oct. Term 2016 No. 1523"
"064346-7635","14-C-1536"
"045706-0030","09 CV 6481"
"049673-0163","17-1471"
"067696-2013","RG15764231"
"020787-7669","13-008389-NP"
"002537-0004","2:12-cv-14131-KMM"
"049065-0184","CV082114"
"064333-3433","BC417804"
"106334-0017"," 81622"
"106964-2150","15-C-141 "
"063741-0041","1200040543"
"009532-0616","070601385"
"103204-0008","16667"
"039821-0443","17-4775 "
"067654-0353","24X08000271"
"010701-0008","1:11-cv-00902-LPS"
"063784-0264","113CV241294"
"049673-0281","16-0820"
"045390-0585","16-03918"
"067654-0926","24x12000283"
"064333-1325","BC384281"
"041173-3056","18-10238"
"006432-0196","13-cv-04109"
"070130-0007","14-cv-00943"
"002579-0102","12-01140"
"107538-0028","00785"
"106965-2889","14-C-1946"
"058074-0216","CV11 00668"
"010849-0081","490-2017-00368"
"039408-0642","BC518829"
"009532-1619","5:15-cv-00430"
"060272-0220","846-2013-33570"
"065530-0068","15 cv 6044"
"039857-0218","09-04148 CW"
"107742-0001","09-50026 (MG) "
"025010-0357","217CV00035VAP"
"020909-0001","2011-09238"
"059799-0140","HUD-L-5213-15"
"097067-0060","16-4556"
"107046-0257","19-08369"
"058074-0231","11-4363"
"049673-0589","201700074"
"031895-0672","2017-CA 002370 "
"064346-3577","13-C-9600KAN"
"069829-0015","08-10498"
"058120-0087","73 193 00133 07 BRBA"
"064318-0924","15-000773"
"064346-5246","13-016291-NP"
"106965-0804","1406-2990"
"067696-1166","BC399222"
"106618-0003","16-cv-11761"
"118544-0052","19 cv 8290"
"020787-3078","12-016489-NP"
"102815-0001","15-cv-00413 "
"060495-0197","A134370 "
"114282-0003","17-cv-04777"
"064346-2894","2012-4258"
"117584-0009","civds1831254"
"100383-0167","A 1501580"
"028789-0051","09 CV 6205"
"062074-0006","05-155S"
"064323-0019","CGC04435592"
"010601-0048","16 cv 1986"
"102315-0002","RG09471909"
"064333-9971","BC490336"
"064346-7716","14-C-1553"
"115713-0149","20-00022"
"064333-4817","BC434921"
"005768-0382","07-4558"
"031905-0001","12cv5809"
"010849-0008","12-01334"
"100553-0001","2008 CA 003287 B"
"117000-2962","04-09137 CA 42"
"064333-4657","2:10-cv-84922-ER"
"064346-8366","14-137167-NP"
"064346-5784","14-C-660"
"102996-0001","16-160"
"066442-0010","SCV245134"
"009532-1077","1:11-cv-03331"
"114896-0003","19-1504"
"057740-0009","18STFL04655"
"046335-0121","153143/16"
"040520-0316","13-cv-05477"
"059501-0025","10121624"
"060771-0038","SCV 237484"
"048766-0389","0025-9100"
"104639-0003","B271468"
"064333-7735","RG11585150"
"012308-0106","C08-04787 MEJ"
"060733-0001","CGC04428686"
"115713-0056","05-L-051003"
"115713-0083","01309"
"000118-0001","Case No. 74 166 00334 10"
"067845-0027","2:16-cv-01391"
"100725-0010","2:13-cv-05991-BMS"
"064346-8022","14-012342-NP"
"064318-2160","16-019393"
"106964-9044","17-C-86 KAN"
"048303-0043","110801714"
"064333-8199","CGC11275922"
"039821-0363","13-cv-9028"
"107120-0059","16-CIV-2473  16-7408 17-1740"
"064333-1459","CGC08274621"
"103971-0006","15-01176"
"036236-0078","2013-SOX-00020"
"064333-0199","CGC-06-454721"
"064318-0866","14-013461-NP"
"101118-0061","16-cv-00306"
"110189-0002","CGC14538887"
"064338-0040","RG05229808"
"064596-0001","05 CV 2332"
"067696-1148","CGC08274492"
"106964-7198","15-013450"
"064346-2934","12-09857"
"060959-0072","Reference #: 1100041346"
"020787-8454","14-49649-NP"
"064346-7232","14-C-1257KAN"
"051439-0398","524-2017-00302"
"100156-0161","10-80824-CIV"
"025010-8228","18-0065"
"063784-0083","SACV070667"
"117003-1161","140103261"
"107046-0120","17-6275"
"117942-0003","32-CA_219653"
"063784-0180","12-06805"
"070181-0003","3:14-cv-01159"
"064346-0723","CGC09275080"
"064346-7720","14-C-1534"
"106965-3183","2015-10-02006"
"097078-0138","30-2019-01092862"
"064333-3785","10-C-258"
"064338-0179","CGC09275137"
"001161-0032","6:14-cv-00164"
"066492-0008","17-cv-02055"
"000032-0022","18 cv 6077"
"037492-0022","231560"
"064333-9566","N12C-04-194 ASB"
"124768-0002","19stcv322421"
"057982-0035","3:11-cv-00541"
"064336-0040","14-011004"
"063784-0027","1-05-CV-039231 "
"063784-0366","IPR2019-00331"
"011910-6042","18-cv-02307"
"106524-0323","2015-02903"
"111704-0001","14-cv-01926"
"015802-0094","06-17716 CA 42"
"100478-0098","30-2018-00990371"
"049065-0285","4:09-cv-3621"
"064333-1562","RG08392195"
"039408-1176","005950/14"
"039408-1883","501853/19"
"100478-0109","21CA232129"
"064385-0056","11-01108"
"124277-0001","30201801018059"
"042894-0052","1:09-cv-02061"
"030416-0041","BC641668"
"000233-0000","15-9479"
"011775-0010","16-1306"
"164346-1009","16-0432-NP"
"060535-0019","04 CV 2430"
"067654-0800","24X10000190"
"039408-1224","063723/14"
"000093-0048","10182462"
"118544-0010","17 CV 7742 "
"000250-0018","510-2012-04329C"
"051092-0088","05-00604;05-1066; 06-066"
"101096-0011","2:14-cv-02564"
"064318-0585","14-000865-NP"
"058446-0020","C11-00249"
"060917-0047","15 cv 6816"
"067647-0001","2493"
"067654-0826","2010 CA 007554 A"
"010701-0030","16-05635"
"064346-5543","14-000020-NP"
"064329-1989","15-026878"
"106964-9187","CL1701804B-04"
"069457-0045","2009-2527"
"064346-0003","CGC-05-440715"
"065438-0132","14-cv-02098"
"004056-0130","C-07-2948 SC"
"064346-7130","14-C-1094"
"064333-1675","08-L394"
"000830-0003","MSL1000680"
"067696-1515","BC459769"
"067654-0823","2010 CA 0007011 A"
"037492-0133","01-15-0004-0622"
"042944-0037","24D-2014-00214"
"064333-5908","RG11569883"
"057589-0047","17-368  17-0719"
"049389-0186","113590/05"
"117003-9125","161202418"
"067382-0001","115644/06"
"103794-0014","20 cv 048"
"020843-0001","12CV01363 JSC"
"009532-2339","18-cv-00056"
"064329-1844","15-000923"
"095540-1246","DR22187/EL"
"066307-0003","GIC855703"
"009532-3098","19 cv 20638"
"106964-9131","17-C-558 "
"103538-0007","16 cv 2498"
"064333-9004","BC480462"
"009532-2844"," 01-19-0001-1477"
"009336-0144","07-2251"
"064346-2763","11-766278"
"101903-0003","09-62020"
"065530-0073","1502220SJO"
"010768-0019","2:14-cv-01292"
"052434-0094","BC493937"
"061156-0000","08 CV 4247"
"064329-0800","12-003702-NP"
"064329-1654","14-008261-NP"
"064346-8642","15-C-313"
"069457-0007","3:07-CV-0447-P"
"063784-0054","06-2254"
"064318-0676","14-003565-NP"
"051439-0361","7598-15"
"064333-5274","BC452434"
"031895-0019","24X14000280"
"009532-2417","18-cv-2885"
"064346-0008","CGC-02-409317"
"052094-0067","16CV296832"
"064329-2126","15-021137"
"064333-7565","11-C-1393"
"066432-0002","06CV00471"
"011886-0077","01-15-0003-4962"
"067696-1464","CGC10275670"
"052735-0089","RCV 094101"
"027283-0334","1343726"
"070310-0031","19stcv42887"
"007568-0198","04AS00899"
"106964-8764","170203515"
"064333-6460","24X12001085"
"009532-1515","C 14-03546 "
"049673-0889","2019 L 000990"
"054321-0122","530-2012-01140"
"027250-0166","RIC1902792"
"064336-0225","16-C-249"
"065979-0002","1:06-md-01775"
"064346-8858","GD-15-007803"
"020787-2678","12-013812-NP"
"106934-0004","15-1384"
"064333-7578","BC468114"
"100383-0107"," 13-1972"
"020803-0013","17-2365"
"104410-0006","19-24643"
"164346-0378","16-013186"
"102504-0214","02-16-0001-0290"
"020787-8562","14-22511"
"051078-0294","17-02835"
"057982-0019","4:08-MD-1875"
"027503-0037","1:12-cv-02065-JEB"
"064333-1372","RG07328946"
"107600-0008","157016/16"
"061660-0055","12-06869-"
"064329-1297","13-C-1661"
"054345-0038","12 cv 6358"
"000222-0003","09-45852 (25)"
"064346-2374","11-C-1350"
"054345-0061","16-cv-02250"
"064346-2669","120203363"
"106964-7963","16-011381"
"064346-7874","2014-1169"
"064346-2970","2009-4179"
"020787-1818","111101679"
"064333-3538","08-016786"
"045390-0543","2:14-cv-02184"
"049065-0390","13cv0975"
"009532-1013","11CV02973HRL"
"064346-2701","12-C-751 KAN"
"059799-0032","30200800111981"
"059343-0003","14CV03158"
"038818-0069","07-28591-C-11"
"056995-0004","AR-08-1806"
"058074-0345"," 1160926"
"103904-0044","BC553948"
"047017-0053","27989-2015"
"031024-0029","16-2669  17-5872"
"064346-2343","BC469605"
"000160-0010","1/0280-16-091"
"064333-5360","BC453641"
"024127-0065","07-17136 CA 33"
"064333-5272","N10C-12-012"
"107549-0014","17-00220 & appeal 19-16122 "
"117003-8352","161000547"
"064346-7180","14-C-1187"
"118195-0002","18-cv-81013"
"066979-0014","2:09-cv-00774"
"009532-1693","1581CV05984"
"015304-0788","30-2016-00"
"107046-0086","18-cv-02498"
"107046-0122","BC672322"
"052776-0235","1220061638"
"064346-7965","14-024554-NP"
"000942-0013","16-cv-61619"
"064417-0021","12-3329/3407"
"101076-0002","C0804968 WHA"
"106964-2556","1406-2990"
"024923-0131","201704185"
"053392-0004","107415/04"
"010601-0091","18 cv 8682"
"030817-0004","RP15-1022-000 & RP13-355-0001"
"005768-0453","15-6158"
"064333-2875","RG09435854"
"052701-1001","01-15-0003-6067"
"020787-1128","757588"
"106964-7183","16-C-0077"
"052776-0243","RG18919342"
"103011-0005","18-1062"
"067654-0804","24-X02000040"
"064346-7871","2014-4207"
"117635-0003","ESX-L-002352-19"
"051078-0131","10-cv-02213, U.S.D.C., District of New Jersey"
"106965-2805","2014-1159"
"030453-0042","6301763"
"012308-0164","1:14-cv-06195"
"058113-0099","30201100515180"
"064959-0016","18CV01735"
"067696-1366","CGC08274972"
"031895-0611","24X16000234"
"013306-0188","1:11-cv-01681"
"097063-0098","17CCAD01572"
"068651-0001","08-107798"
"117392-0003","15 cr 0317 "
"107033-0295","15-cv-00193"
"009532-1900","1565"
"027283-0290","14-R4D4-3185"
"063343-0003","1126-07"
"053097-0081","14-011587 (02)"
"103165-0002","15 cv 1402"
"064333-4924","11-C-579"
"039408-1017","004636/14"
"100252-3010","16-1920"
"064318-0753","14-008375-NP"
"164346-2636","17 cv 7232"
"069346-0006","6:07-cv-00261"
"059799-0177","BC705434"
"064333-0924","RG07311994"
"064346-3574","BC502020"
"062308-0037","0913739"
"059799-0195","219cv05027"
"095540-1235","1425018233"
"010601-0077"," YC073123"
"066892-0009","BC394335"
"117003-9899","170502825 "
"054553-0117","5:12-cv-01971"
"102630-0001","13-5158"
"000032-0025","18 cv 7111"
"063784-0246","4:12-cv-00435"
"020787-1806","12-14674-NP"
"066892-0016","104402-2009"
"044450-0094","2:10CV03057 SVW PJW"
"107046-0288","20STCV00225"
"120737-0001","18-0107"
"039408-0865","12-33454"
"039529-0244","Supreme Court of New York, New York Co., Index No."
"037492-0082","1:15-cv-1524"
"117003-1029","12-014602"
"004867-0112","37-2019-00053881"
"101903-0006","10-5705"
"064329-1732","14-15366-NP"
"039408-1284","2:14-cv-06429"
"067696-1233","CGC08275008"
"124122-0001","CR19-00145-JAK"
"057691-0043","2:11-cv-03623"
"103971-0158","BC702129"
"061146-0068"," 17-031138"
"117003-9264","170205097"
"063331-0216","080303793"
"064346-3098","2007-2085"
"049065-0295","12 Civ. 2548 (VSB)"
"064333-7273","RG11578906"
"064346-4618","11-015252-NP"
"064333-7769","N11C05081 ASB"
"062825-0035","18-1001"
"103209-0002","1981cv01480"
"064346-5902","14-006322-NP"
"049065-0233","30-2010-00387809"
"063331-0103","08 CV 69"
"065347-0001","JCCP4458"
"009532-0512","06 CV 4203"
"066432-0033","15CV00273"
"106964-7351","160301865"
"020787-7214","2:13-cv-04439"
"063134-0159","17-1990T"
"061180-0014","CV0807340"
"069457-6541","VARIOUS"
"065678-0040","BC477664"
"045706-0083","12-04034"
"064346-2900","12-011124"
"037492-0152","01-15-0004-2750"
"020747-0013","18-cv-04839"
"064333-7309","BC464985"
"001702-0009","2013-80119"
"018180-0227","2:12-cv-03161"
"124227-0001","A-002899-17"
"000250-0004","510-2009-05058"
"051078-0109","2:09-cv-481"
"112281-0009","P-12115-112-CV"
"064346-0460","08-009694"
"031024-0042","RG17858247"
"064328-0006","20072220"
"061895-0041","IN13-15-000"
"097012-0058","435086-V"
"007054-0127","14OP76331"
"039408-0482","RG13688953"
"117003-4490","16-001495"
"117003-8824","2016-4703"
"018180-0201","204-11-304"
"000250-0011","121221048 "
"051409-0025","1:08-cv-01960"
"064333-0984","B209935"
"049673-0514","ATL-L-1917-17"
"041688-0241","BC391090"
"064326-0084","07-4695"
"064346-2978","12-C-1382 KAN"
"051723-0006","8:07-CV-00227"
"010701-0043","550-2019-01243"
"020787-7903","244812/13"
"002362-0011","218cv0772"
"039408-0529","2009 CH 2963"
"039408-0809","31-2014-00082842-CU-OR-CTL"
"114047-0008","116CV04782  17-0930"
"105171-0036","1425027872"
"064346-8015","14-014664-NP"
"052701-0562","01-15-0004-8534"
"065620-0013","1:11-cv-02251"
"064318-1026","15-005785-NP"
"064346-8956","15-005745-NP"
"021288-0924","17-DCV-241894"
"064318-0677","14-003413-NP"
"049015-0057","08CV0874 BTM POR"
"104941-0014","ET06NB-65439 (EEOC Charge No.: 17E-2015-00387)"
"069457-6547","3:10-cv-03020"
"129904-0001",":18-00224"
"058110-0120","106CV064058"
"024935-0223","08-03541"
"106964-3914","Sept Term 2011 No. 3211"
"100908-0014","BC709632"
"034664-0693","519cv00108"
"068068-0072","10CV03998FF"
"066552-0004","BC401740"
"064333-1337","CGC08274512"
"030453-0004","13cv2869"
"016990-0160","17-cv-2796"
"052434-0180","16-cv-06817"
"039408-0408","11-444"
"062968-0008","52-014-COL & 52-015-COL"
"106964-0633","14-15261-NP"
"063065-0084","2;14-cv-3897"
"064346-3983","13-013070"
"064333-0900","N/A"
"020787-8460","14-49648"
"117003-9710","170402063"
"051439-0123","06 CV 1429"
"020787-1456","CACE-01-00898 (27)"
"064346-4564","13-C-1675"
"005768-0437","5:13-cv-07405"
"107033-0424","1:15-cv-02081"
"104305-0017","01-16-0002-1442"
"066208-0018","2:08-CV-01270-MRP-PJW"
"064333-7777","N11C-03-051 ASB"
"051439-0230","Case No. M-E-X-10-1023044"
"049673-0636","EEOC 440-2018-04925  440-2018-04926"
"010601-0108","N19C-05-051"
"064346-3161","6187 of 2012"
"054624-0030","6419/10"
"064346-0397","CGC06456524"
"097065-0097","13-09-17"
"100929-0012","11-20949"
"106964-2101","14-013784"
"028581-0110","14-1029"
"100383-0073","111CV21894"
"052867-1192","19-cv-00442"
"031895-0606","2016 CA 003319 A"
"100424-0001","13025-08"
"116143-0001","16-0422"
"063134-0027","08-60132"
"021418-0065","571600004609"
"020787-3037","24X12001085"
"061272-0117","BC402290"
"049065-0438","2:17-cv-01418"
"121572-0009","00057"
"039408-1758","CGC 16-554203"
"064346-2277","11-C-1298"
"064346-3277","12-023124"
"065669-0050","17CV313034"
"101568-0001","30200800115326"
"064333-3445","0922-CC10263"
"067696-1651","CGC12276038"
"063293-0034","518cv00958"
"100812-0028","2:13-cv-05994"
"060568-0083","BC634410"
"097022-0021","CR090028 CRB (JL)"
"101118-0104","17-04719"
"052766-0110","19-01738"
"052715-0406","11 cv 9082"
"010849-0138","846-2019-01130"
"103904-0071","RG15763277"
"052701-0440","1:10-cv-07304"
"025010-8231","82C011805CT002674"
"063144-0014","07 CV 379"
"010601-0016","13 cv 0030"
"109522-0010","17-cv-00017"
"039408-0477","015428/13"
"065530-0060","15 cv 2039"
"000222-0014","17-08108"
"064347-0612","CGC11275876"
"104907-1631","16-022063"
"117003-1088","G.D. 15001078"
"049673-0932","019-01539, 019-01509"
"064346-2145","RG11585150"
"097060-0056","15-1869"
"102344-0021","16-06690"
"065530-0056","15-2208   MEJ "
"064385-0052","30200900309720"
"106965-0877","2015-3590"
"040892-0141","14-cv-884"
"095540-0058","09-10156"
"064346-8326","14-015754-NP"
"061942-0101","16 cv 0778"
"114262-0002","15cv7730"
"064338-0084","RG05210491"
"049065-0463","18-6006   19-1141"
"116024-0009","19cv2043"
"064333-1559","08-1609"
"058074-0363","16CV36390"
"064333-0259","072155"
"064329-2330","16-003018"
"009735-0054","C0903376 JSW"
"011424-0003","1:12-cv-00948"
"066637-0001","SCV-237963"
"064346-7004","14-008231-NP"
"057589-0042","ECU08501"
"063752-6005","CIVDS1511395"
"064333-5273","N10C-12-061 ASB"
"027283-0313","18-0230"
"069457-0148","1:14-cv-00301"
"025010-0302","1414169"
"039408-1276","5:14-cv-01635"
"117003-4662","2015-CV-657-AS"
"064346-5341","13-C-1879KAN"
"064329-1335","13-48874"
"064338-0053","RG0521044"
"064345-0022","CGC06448484"
"022262-0657","37-2009-00102754-CU-OE-CTL"
"070130-0003","37201300071988 CU OE CTL "
"037492-0254","15-02566"
"025010-0273","BC532785"
"064333-8648","11-C-2181"
"065386-0008","BC477685"
"064333-8797","12-C-145"
"107230-0009","17-944"
"064346-3713","24X10000032"
"064346-8793","11-021864"
"051078-0247","16-cv-17271  17-30671"
"025010-8410","20190606491913"
"064346-3608","24X12000396"
"114262-0003","818cv02261"
"064346-7829","14-019822"
"039408-1386","CIVDS1402641"
"022226-0046","419cv00768"
"037492-0191","15-03043"
"100812-0038","CIVDS1705040"
"063332-0001","4:2007 CV 03230"
"118544-0020","18-02250"
"064346-9022","15-007060-NP"
"011194-0004","3847"
"100478-0072","17-00304"
"006432-0195","5:12-cv-03720"
"053537-0080","17-2073"
"097050-0043","CUD-15-653253"
"064318-0922","15-000334"
"010886-0027","1:13-cv-02067"
"031361-0001","A12656710B"
"066648-0031","14R6D43544 & 3545"
"007568-0232","09CV1796T27MAP"
"000830-0010","2:14-cv-07622"
"039408-1432","703841/14"
"030453-0024","15cv01876"
"063134-0179","20081"
"049673-0361","WC-1251-0916-HUM"
"051092-0212","13-0038"
"049673-0344","28-CA-185018"
"063293-0037","18 cv 4788"
"064333-1262","BC382842"
"034913-0520","18C09000095"
"064385-0103","13-01582"
"009532-2940","19CECG02589"
"064333-2213","RG08421762"
"064346-4472","12-014748-NP"
"020787-7651","13-008329-NP"
"066629-0069","6-07-CIV-1873"
"027250-0180","19 cv 8014"
"104907-1716","17-C-248"
"057589-0002","04 CV 840, 05-5886"
"104618-0057","541-2018-00421"
"052776-0204","217cv03060"
"064346-3422","2013-496"
"064346-5780","14-C-77K"
"064326-0088","08-0366"
"106975-0096","15-C-1676 KAN"
"064346-1470","CGC10275624"
"064336-0222","16-00611"
"058074-0373","2018-CA-260"
"058666-0013","Re: 741600048611"
"104719-0003","4:15-CV-00799 JD"
"028581-0254","2-17-244R,S"
"064333-1555","MID-L-4431-08AS"
"064346-8001","14-013674-NP"
"006432-0216","2:14-cv-01326"
"009532-1767","UNN-L-2536-16"
"097031-0055","BC480579"
"107046-0149","18stcv09242"
"064338-0081","RG05210590"
"110470-0008","15-2632"
"060768-0004","04-16213 SJS"
"088888-0105","15-4040"
"053505-0017","510-2007-02872"
"062074-0026","07-20454"
"064346-8894","15-C-550"
"103958-0010","12-103302"
"010601-0112","19STCV19713"
"106964-2338","15-271-NP"
"107182-0072","16-2090   "
"064346-5292","13-22213-NP"
"067696-1093","CGC08274817"
"002054-0012","14-cv-00447"
"012000-0003","BC531332"
"064346-3719","13-007835"
"107072-0023","18-CA-12714"
"064329-0889","12-C-1208"
"028635-0099","15-0191"
"058074-0338","14-10113"
"064385-0160","4:18-cv-01506"
"010235-0044","4:18-cv-05803"
"009532-0543","06-5289"
"064333-8290","N1 1C12155ASB"
"011542-0008","1:12-cv-00684-KD-C"
"064333-7645","11-C-1548"
"103971-0118","17-0687"
"064333-8090","2011-6196 "
"104941-0019","16-1938"
"064346-2849","12-C-872"
"049065-0319","8:13-cv-1628"
"121365-0003","18 cv 10213"
"010423-0005","16-05569"
"118287-0001","16-2521"
"064333-0040","CGC05444220"
"067654-0908","24X11000385"
"010753-0009","14cv00154"
"106964-7751","MDL 875; 17-1072"
"064333-9723","CV-12-784281"
"064333-1007","072358"
"164346-1330","No. 6224 of 2016"
"107063-0009","18STCV06084"
"064333-0743","RG09490767"
"064329-1510","14-000020-NP"
"009532-1846","17-1109"
"015304-0640","30-2010-00420066-CU-OE-CXC"
"034913-0448","302 CV 2006"
"107046-0114","18-cv-00839"
"017463-0124"," 15-cv-2598"
"102735-0011","BC567401"
"064333-4367","24X10000193"
"064333-0069","CGC-04-434409"
"100156-0350","01-17-0007-7535"
"116692-0002","22065/RD"
"117003-9857","17-007819-NP"
"064346-2325","N11C06169ASB"
"009532-1865","CV-17-885015"
"049100-0233"," 2019SOX00010"
"026723-0219","3702"
"064333-5757","BC457255"
"111452-0011","18 cv 4145"
"037793-0112","06-005002"
"064328-0130","13-C-2253"
"064346-7081","14-008382-NP"
"064347-0817","BC481217"
"111730-0010","16-cv-01641"
"107922-0001","MID-C-27-16"
"049673-0472","MER-L-1329-17"
"020787-7125","01-020453"
"034664-1168","19BE00470"
"164346-2358","170602569"
"067696-1526","RG11585150"
"064329-0507","11-C-1551"
"064323-0058","BC384281"
"000032-0024","218cv10233"
"063575-0001","BC268836"
"064333-1542","BC392620"
"057005-0059","L-3109-08"
"064333-5299","BC452761"
"100007-0005","8:11-cv-00487"
"123524-0001","18cv05864"
"064346-4833","N13C-10-072 ASB"
"097055-0075","14-CV-01406                                       "
"106965-4260","17-008410"
"064346-0339","N/A"
"064329-0408","11-003219-NP"
"107074-0019","NOT AVAILABLE"
"100383-0074","CJ-2011-12"
"027283-0311","17-1478"
"020787-1596","12-789208"
"107046-0103","RG18922254"
"115938-0015","BC678020"
"041383-0023","MER-L-1312-16"
"049673-0753","470-2018-03297"
"106964-9181","2017-1918"
"009532-2573","19-852"
"020041-0009","215CV09651JGB"
"061443-0003","06-113"
"062746-0089","12cv01648"
"004383-0006","12-5246"
"025010-8227","30201800977654"
"001520-0222","18-00888"
"064346-2785","120400933"
"103266-0002","YC070302"
"064346-0145","CGC-05-445600"
"055139-6000","-"
"064346-9040","2015L005731"
"064333-0419","090901362"
"037492-0301","18stcv10158"
"064346-2112","4367 of 2011"
"115222-0008","18 cv 3667"
"064346-0497","CGC08274767"
"066892-0011","BC398409"
"020787-1552","12-C-1428"
"064620-0050","0905313"
"000093-0028","14-24162CA"
"067456-0009","CV141140"
"001482-0160","19 cv 22081"
"097061-0061","ZLA1700192070"
"115713-0037","16cv00567"
"039857-0252","D-1-GN-13-003530"
"120762-0003","2018CA0023690"
"064333-2522","RG09432156"
"064333-1997","RG08410471"
"066686-0003","BC379209"
"064333-1410","CGC08274579"
"061823-0077","18-cv-80463"
"067654-0998","24X12000986"
"034664-0689","18 cv 1330"
"064333-0408","CGC08274637"
"115705-0004","18-60986"
"043451-0101","N/A"
"063134-0008","05-05056"
"064346-5110","13-015071-NP"
"061415-0010","11CV00848 CRB"
"116755-0002","2672"
"020787-9094","2826 of 2016"
"010849-0017","4:14-cv-01184-RS"
"103971-0067","2018-AIR-00027"
"009532-0684","241467"
"069700-0017","CV094479 JSW"
"018180-0325","16-cv-01692"
"002579-0363","2404 EDA 2016"
"039408-1068","14-ap-01036"
"069471-0001","Mon-L-2004-07"
"164346-1619","16-C-1779KAN"
"054624-0072","15 cv 7628"
"047416-0024","09-1997"
"117003-4479","GD 16 000149"
"017132-0093","50 2012 CA000467XXXXMB"
"015802-0416","11982"
"064346-8429","GD-15-000756"
"103971-0156","2017-CV-32258"
"039408-0619","019841/13"
"102410-0077","01-19-0002-1767"
"060771-0106","70 160 822 11"
"039408-0984","030842/14"
"107141-0123","37-2018-00062296"
"112848-0004","01-18-0003-5630"
"110735-0002","2084CV00127"
"063224-0072","8:10-cv-1373-T-26EAJ"
"064333-4952","N10C-09-248 ASB"
"064333-8688","N11C12209ASB"
"114226-0002","CGC-15-547060"
"064333-2108","RG08404778"
"018180-0265","2:13-cv-7351"
"064329-1698","14-C-1545"
"103971-0203","18-2-18571-8"
"064346-5199","13-016313-NP"
"043451-0190","CV1304866 RMW"
"049389-0453","14 cv 2843"
"097042-0061","A206994670"
"064345-0017","CGC-05-439556"
"064333-1470","052692"
"106524-0009","CGC14276370"
"064333-8095","N11C-11-147"
"045706-0145","525-2016-00257"
"114855-0002","13-cv-11739"
"024923-0085","10-1548"
"064346-1356","10-009442"
"064346-5394","13-C-2407"
"064346-6004","14-007732-NP"
"064318-0765","15-005138-NP"
"049065-0379","14-9053"
"039821-0213","10-3227"
"097028-0015","06CV01597-LAB-WMC"
"012919-0165","06-00340"
"020787-9164","16-016057"
"064346-2769","CGC12276002"
"064333-0895","BC364356"
"064328-0260","GD 16 000149"
"067654-0736","24-X-03-000659"
"047574-0007","14-CV-319"
"108592-0001","14CV02743"
"059491-0055","11cv11794"
"039408-0652","913BK11928RR"
"024935-0233","09-05694"
"062319-0024","2010 CA 000395 B"
"101854-0001","08-01789  "
"046335-0093","CPF-08-508279"
"039857-0212","09-4162 CW"
"039529-0093","0703568J"
"049673-1018","19-03097"
"039408-1073","150100/09"
"064346-0458","08-008293"
"097002-0454","31663 O-13588-05"
"020787-7952","13-15077-NP"
"020787-2532","12-013660-NP"
"064346-5225","1312-3003"
"066975-0001","06-03447 JW"
"064328-0160","13-C-1199"
"061584-0004","C1104289"
"121777-0001"," 18-cv-5427"
"039408-0951","030077/14"
"012308-0150","12-cv-01122"
"064346-0694","CGC08275012"
"064346-3658","13-006661"
"114262-0045","18-00939"
"063879-0001","2004 CA 006663"
"064346-7085","CGC-11-275920"
"064346-2668","CGC11275960"
"032231-0005","2:15-cv-00520"
"106524-0040","15-026878"
"109402-0029","2:15-cv-01113"
"009532-1246","1D13-2029"
"064346-2019","N11C-02-023"
"003351-0015","1610356"
"064612-0049","15CV61477"
"060579-0043","8:14-cv-00709"
"064333-7700","BC469604"
"064346-1152","08-C-1422"
"102410-0072","19-04703"
"067696-1534","CGC-11275867"
